national_team_id,name,team_code,country_id,country_name,country_code,confederation,team_image_url,squad_size,average_age,foreigners_number,foreigners_percentage,total_market_value,coach_name,fifa_ranking,last_season,url,inverse_fifa,norm_fifa,norm_value,team_rating
3381,Turkiye,turkiye,174,Türkiye,TR1,UEFA,https://tmssl.akamaized.net//images/flagge/head/174.png?lm=1520611569,27,28.0,11,40.7,435200012,,22,2025,https://www.transfermarkt.co.uk/turkiye/startseite/verein/3381,190,0.9000000000000001,0.28584830991339727,0.5315089859480384
3382,Belgium,belgium,19,Belgium,BE1,UEFA,https://tmssl.akamaized.net//images/flagge/head/19.png?lm=1520611569,25,26.6,22,88.0,534200012,,9,2025,https://www.transfermarkt.co.uk/belgium/startseite/verein/3382,203,0.961904761904762,0.35102255226282997,0.5953754361196029
3383,Austria,austria,127,Austria,A1,UEFA,https://tmssl.akamaized.net//images/flagge/head/127.png?lm=1520611569,28,28.4,25,89.3,263399994,,24,2025,https://www.transfermarkt.co.uk/austria/startseite/verein/3383,188,0.8904761904761905,0.1727479461884589,0.4598392439035516
3384,Switzerland,switzerland,148,Switzerland,C1,UEFA,https://tmssl.akamaized.net//images/flagge/head/148.png?lm=1520611569,26,28.0,23,88.5,322100006,,19,2025,https://www.transfermarkt.co.uk/switzerland/startseite/verein/3384,193,0.9142857142857144,0.21139167152181856,0.4925492886273769
3394,Bulgaria,bulgaria,28,Bulgaria,BU1,UEFA,https://tmssl.akamaized.net//images/flagge/head/28.png?lm=1520611569,24,25.1,13,54.2,29750000,,86,2025,https://www.transfermarkt.co.uk/bulgaria/startseite/verein/3394,126,0.5952380952380953,0.01893015493694886,0.24945333105740744
3433,Australia,australia,12,Australia,AUS1,AFC,https://tmssl.akamaized.net//images/flagge/head/12.png?lm=1520611569,26,27.1,22,84.6,51230000,,27,2025,https://www.transfermarkt.co.uk/australia/startseite/verein/3433,185,0.8761904761904763,0.03307099054973486,0.3703187848060315
3435,Japan,japan,77,Japan,JAP1,AFC,https://tmssl.akamaized.net//images/flagge/head/77.png?lm=1520611569,27,26.4,24,88.9,264200012,,18,2025,https://www.transfermarkt.co.uk/japan/startseite/verein/3435,194,0.9190476190476191,0.173274618582559,0.4715838187685831
3436,Denmark,denmark,39,Denmark,DK1,UEFA,https://tmssl.akamaized.net//images/flagge/head/39.png?lm=1520611569,25,26.5,24,96.0,375000000,,20,2025,https://www.transfermarkt.co.uk/denmark/startseite/verein/3436,192,0.9095238095238096,0.24621709605959163,0.5115397814452789
3437,Argentina,argentina,9,Argentina,ARG1,CONMEBOL,https://tmssl.akamaized.net//images/flagge/head/9.png?lm=1520611569,29,28.0,24,82.8,761200012,,3,2025,https://www.transfermarkt.co.uk/argentina/startseite/verein/3437,209,0.9904761904761906,0.500462481690317,0.6964679652046665
3438,Serbia,serbia,215,Serbia,SER1,UEFA,https://tmssl.akamaized.net//images/flagge/head/215.png?lm=1520611569,28,26.8,23,82.1,298500000,,39,2025,https://www.transfermarkt.co.uk/serbia/startseite/verein/3438,173,0.8190476190476191,0.1958551815168482,0.4451321565291566
3439,Brazil,brazil,26,Brazil,BRA1,CONMEBOL,https://tmssl.akamaized.net//images/flagge/head/26.png?lm=1520611569,24,27.0,19,79.2,778500000,,6,2025,https://www.transfermarkt.co.uk/brazil/startseite/verein/3439,206,0.9761904761904763,0.5118515080595522,0.6975870953119219
3440,Norway,norway,125,Norway,NO1,UEFA,https://tmssl.akamaized.net//images/flagge/head/125.png?lm=1520611569,24,27.0,18,75.0,504000000,,31,2025,https://www.transfermarkt.co.uk/norway/startseite/verein/3440,181,0.8571428571428572,0.33114110881794334,0.5415418081479089
3441,Ghana,ghana,54,Ghana,GHPL,CAF,https://tmssl.akamaized.net//images/flagge/head/54.png?lm=1520611569,25,26.7,24,96.0,199279999,,74,2025,https://www.transfermarkt.co.uk/ghana/startseite/verein/3441,138,0.6523809523809525,0.13053610685942443,0.33927404506803566
3442,Poland,poland,135,Poland,PL1,UEFA,https://tmssl.akamaized.net//images/flagge/head/135.png?lm=1520611569,25,27.7,21,84.0,214500000,,35,2025,https://www.transfermarkt.co.uk/poland/startseite/verein/3442,177,0.8380952380952382,0.140555824371875,0.41957158986122034
3443,Finland,finland,49,Finland,FI1,UEFA,https://tmssl.akamaized.net//images/flagge/head/49.png?lm=1520611569,23,25.9,22,95.7,41599998,,73,2025,https://www.transfermarkt.co.uk/finland/startseite/verein/3443,139,0.6571428571428573,0.026731312931820503,0.2788959306162352
3444,Nigeria,nigeria,124,Nigeria,NPFL,CAF,https://tmssl.akamaized.net//images/flagge/head/124.png?lm=1520611569,23,27.6,23,100.0,209080002,,26,2025,https://www.transfermarkt.co.uk/nigeria/startseite/verein/3444,186,0.880952380952381,0.136987700501315,0.43457357268174146
3445,Czech Republic,czech-republic,172,Czech Republic,TS1,UEFA,https://tmssl.akamaized.net//images/flagge/head/172.png?lm=1520611569,25,28.0,11,44.0,171500000,,43,2025,https://www.transfermarkt.co.uk/czech-republic/startseite/verein/3445,169,0.8,0.11224782011909111,0.3873486920714547
